dep;nb_accidents
01;382
02;253
03;235
04;193
05;201
06;835
07;276
08;106
09;127
10;383
11;361
12;191
13;2057
14;482
15;168
16;128
17;414
18;177
19;203
21;242
22;511
23;44
24;196
25;376
26;293
27;450
28;280
29;711
2A;286
2B;346
30;429
31;535
32;126
33;1189
34;659
35;731
36;115
37;585
38;652
39;157
40;170
41;210
42;379
43;213
44;688
45;443
46;125
47;255
48;70
49;712
50;424
51;558
52;111
53;130
54;602
55;111
56;533
57;351
58;193
59;1004
60;517
61;236
62;614
63;529
64;879
65;218
66;378
67;608
68;367
69;1921
70;108
71;530
72;463
73;290
74;525
75;4763
76;790
77;892
78;646
79;176
80;274
81;206
82;147
83;804
84;336
85;387
86;224
87;422
88;177
89;168
90;37
91;1319
92;2563
93;2650
94;2204
95;906
971;558
972;546
973;600
974;882
975;2
976;154
977;7
978;30
986;10
987;170
988;222
